"model1"  "model2"  "chi2"  "df"  "P.val"
"160"  "F84+I"  "GTR+I"  6.54478  4  0.162
"161"  "F84+I"  "GTR+I+G"  6.6377  5  0.249
"162"  "F84+G"  "F84+I+G"  0.000600000000019918  1  0.9805
"163"  "F84+G"  "HKY85+I+G"  0.254320000000007  1  0.614
"164"  "F84+G"  "TN93+G"  1.00092000000001  1  0.3171
"165"  "F84+G"  "TN93+I+G"  1.02805999999998  2  0.5981
"166"  "F84+G"  "GTR+G"  6.54764  4  0.1618
"167"  "F84+G"  "GTR+I+G"  6.63918000000001  5  0.2489
"168"  "F84+I+G"  "TN93+I+G"  1.02745999999996  1  0.3108
"169"  "F84+I+G"  "GTR+I+G"  6.63857999999999  4  0.1563
"170"  "HKY85"  "HKY85+I"  -0.00272000000001071  1  1
"171"  "HKY85"  "HKY85+G"  -0.00326000000001159  1  1
"172"  "HKY85"  "HKY85+I+G"  0.00344000000001188  2  0.9983
"173"  "HKY85"  "TN93"  0.753420000000006  1  0.3854
"174"  "HKY85"  "TN93+I"  0.749799999999993  2  0.6874
"175"  "HKY85"  "TN93+G"  0.750040000000013  2  0.6873
"176"  "HKY85"  "TN93+I+G"  0.777179999999987  3  0.8549
"177"  "HKY85"  "GTR"  6.29770000000002  4  0.178
"178"  "HKY85"  "GTR+I"  6.29538000000002  5  0.2785
"179"  "HKY85"  "GTR+G"  6.29676000000001  5  0.2784
"180"  "HKY85"  "GTR+I+G"  6.38830000000002  6  0.3811
"181"  "HKY85+I"  "HKY85+I+G"  0.00616000000002259  1  0.9374
"182"  "HKY85+I"  "TN93+I"  0.752520000000004  1  0.3857
"183"  "HKY85+I"  "TN93+I+G"  0.779899999999998  2  0.6771
"184"  "HKY85+I"  "GTR+I"  6.29810000000003  4  0.178
"185"  "HKY85+I"  "GTR+I+G"  6.39102000000003  5  0.27
"186"  "HKY85+G"  "HKY85+I+G"  0.00670000000002346  1  0.9348
"187"  "HKY85+G"  "TN93+G"  0.753300000000024  1  0.3854
"188"  "HKY85+G"  "TN93+I+G"  0.780439999999999  2  0.6769
"189"  "HKY85+G"  "GTR+G"  6.30002000000002  4  0.1778
"190"  "HKY85+G"  "GTR+I+G"  6.39156000000003  5  0.27
"191"  "HKY85+I+G"  "TN93+I+G"  0.773739999999975  1  0.3791
"192"  "HKY85+I+G"  "GTR+I+G"  6.38486  4  0.1722
"193"  "TN93"  "TN93+I"  -0.00362000000001217  1  1
"194"  "TN93"  "TN93+G"  -0.00337999999999283  1  1
"195"  "TN93"  "TN93+I+G"  0.0237599999999816  2  0.9882
"196"  "TN93"  "GTR"  5.54428000000001  3  0.136
"197"  "TN93"  "GTR+I"  5.54196000000002  4  0.2361
